,0,1,2,3,4,5,Next
14531,7S,8S,4D,9H,,,
14532,KS,5C,7D,,,,
14533,2H,JH,5C,7H,,,
14534,AC,2H,10C,KC,,,
14535,5H,2H,JC,,,,
14536,5H,3C,AC,,,,
14537,AS,3S,AC,,,,
14538,4H,10D,9C,,,,
14539,QH,4D,3C,JH,,,
14540,10H,4S,KD,,,,
14541,9S,8H,2C,2D,,,
14542,3H,3S,9C,,,,
14543,10H,5H,2S,10S,,,
14544,2S,AS,4C,3C,9S,AD,
14545,4S,5S,5H,9S,,,
14546,8D,10C,2D,AC,,,
14547,8C,JS,7S,,,,
14548,AD,7H,5C,,,,
14549,7H,8S,4H,,,,
14550,2C,6D,6S,10C,,,
14551,JH,4C,9C,,,,
14552,AH,9C,KS,QH,,,
14553,6D,9C,5S,,,,
14554,2S,QC,3C,5C,9H,,
14555,6S,5S,KS,,,,
14556,5D,JC,QC,,,,
14557,3S,JH,6D,,,,
14558,2D,2H,QC,5C,7S,,
14559,2C,8S,QC,,,,
14560,JS,JC,7S,,,,
14561,6H,JD,4C,KH,,,
14562,QD,KC,10H,,,,
14563,JC,9S,QD,,,,
14564,6D,AD,7C,8H,,,
14565,8D,KC,3C,,,,
14566,6H,QD,AH,,,,
14567,KH,KS,9S,,,,
14568,7C,9D,2H,9C,,,
14569,7S,4C,8C,KS,,,
14570,QC,AH,5H,,,,
14571,6C,4C,7S,AS,JS,,
14572,JH,2S,8S,AC,,,
14573,2D,8C,10D,9S,,,
14574,9C,3D,8D,3H,,,
14575,2C,QH,QD,,,,
14576,10H,2C,KC,,,,
14577,6C,AS,6D,,,,
14578,AH,6D,5C,,,,
14579,QC,8H,JC,,,,
14580,2C,4D,5C,10D,,,
14581,AH,10S,10H,,,,
14582,QS,AD,KH,,,,
14583,6S,JC,AH,4H,,,
14584,3D,AS,QS,6C,,,
14585,6D,KH,JH,,,,
14586,KS,KD,AC,,,,
14587,KH,QS,5H,,,,
14588,QH,6S,3D,,,,
14589,JD,8S,JH,,,,
14590,10S,2S,10H,,,,
14591,10C,6D,3D,,,,
14592,KS,8H,3D,,,,
14593,QD,KS,JH,,,,
14594,AD,5D,2H,9H,,,
14595,4H,AS,7D,2H,6S,8C,
14596,AC,4C,QD,JC,,,
14597,2C,AD,AS,KC,QS,,
14598,6C,KD,10C,,,,
14599,5D,AD,7H,QC,,,
14600,2H,4C,4S,2D,3H,,
14601,5S,KH,AC,,,,
14602,4D,5H,10S,,,,
14603,9C,10S,JC,,,,
14604,8D,5D,AD,AS,10C,,
14605,2D,4S,2H,KH,7H,,
14606,3D,4D,KH,,,,
14607,AC,9S,4C,JH,,,
14608,2H,QS,KH,,,,
14609,JS,QC,8H,,,,
14610,6D,2H,JS,,,,
14611,9H,4S,9S,,,,
14612,5D,AC,2H,8H,,,
14613,KH,5H,4H,2C,,,
14614,QH,5C,AD,KS,,,
14615,KH,10D,7D,,,,
14616,5D,4H,9H,4S,,,
14617,5S,7S,KS,,,,
14618,4D,10D,6C,,,,
14619,8S,8H,4C,,,,
14620,KC,QH,9H,,,,
14621,QC,8C,9D,,,,
14622,4D,6C,10C,AS,,,
14623,10H,AS,QC,,,,
14624,3C,6H,3D,,,,
14625,9H,QH,3C,,,,
14626,2S,8S,JD,,,,
14627,10H,AD,9H,4H,,,
14628,JC,AS,8C,JD,,,
14629,4C,6H,7H,5S,,,
14630,5H,4D,7C,AS,5C,,
14631,10D,AH,JS,,,,
14632,QC,7C,JC,,,,
14633,8D,3D,5C,6H,,,
14634,4C,KH,8H,,,,
14635,QD,5H,6S,,,,
14636,2S,6C,9C,7S,,,
14637,9D,8H,2D,AD,JD,,
14638,QS,8H,2D,JS,,,
14639,QS,6S,KC,,,,
14640,7H,KD,KS,,,,
14641,4H,10D,5S,QS,,,
14642,10C,8S,KS,,,,
14643,5C,8S,AS,7H,,,
14644,8S,6D,3C,6H,,,
14645,6S,3S,KC,9D,,,
14646,KC,AD,KS,,,,
14647,9S,8S,2H,5D,,,
14648,9S,4S,3C,KC,,,
14649,5H,QD,QH,,,,
14650,4D,JD,AS,,,,
14651,8C,7H,10D,,,,
14652,10C,6C,JS,,,,
14653,QH,4H,10S,,,,
14654,2S,AH,5H,9S,7C,,
14655,4S,5S,8D,6C,,,
14656,5C,4D,5D,,,,
14657,6D,9H,4H,10D,,,
14658,AD,3H,6S,,,,
14659,8D,6S,6D,2D,,,
14660,9C,4H,9D,,,,
14661,8H,9S,9D,,,,
14662,2S,5S,4C,7C,,,
14663,2S,7D,QS,2H,,,
14664,4D,QS,KS,,,,
14665,JS,10D,KH,,,,
14666,6S,KS,3C,JD,,,
14667,JD,AD,9S,6H,,,
14668,8H,9S,8D,,,,
14669,AS,KC,2H,3D,,,
14670,KS,4D,JS,,,,
14671,9H,5H,7S,,,,
14672,10S,QH,2H,,,,
14673,9D,AH,3H,KS,,,
14674,3H,AC,5S,8C,8H,,
14675,3D,4C,KH,8C,,,
14676,2H,8S,QC,3C,,,
14677,4H,QH,9D,,,,
14678,AS,10C,JS,,,,
14679,JS,9H,2D,,,,
14680,JH,KH,9H,,,,
14681,JD,8C,5C,,,,
14682,KH,5D,7H,,,,
14683,2H,AH,5D,QH,3S,,
14684,AC,9C,QC,QD,,,
14685,QS,7H,QD,,,,
14686,QC,3D,KH,,,,
14687,6H,2H,9C,6C,,,
14688,KC,9S,KD,,,,
14689,3D,9H,KS,,,,
14690,JS,6C,7S,,,,
14691,10H,2C,2D,,,,
14692,AD,3D,7C,5H,JC,,
14693,2S,5C,3D,,,,
14694,2D,QC,3S,,,,
14695,JH,5H,10C,,,,
14696,JS,8H,5S,,,,
14697,8S,10D,10H,,,,
14698,QD,6H,2D,KD,,,
14699,KS,2H,10S,,,,
14700,10H,2C,4H,4C,QC,,
14701,10C,KD,6C,,,,
14702,9S,10D,10S,,,,
14703,QH,8H,AH,,,,
14704,JS,10C,6S,,,,
14705,9H,4D,10S,,,,
14706,2H,10S,8D,,,,
14707,AS,JS,KD,,,,
14708,AC,AD,2S,,,,
14709,AC,3D,QS,8S,,,
14710,2H,2S,6C,7H,5H,,
14711,5C,JS,6C,,,,
14712,5D,JD,2D,,,,
14713,QC,JH,7S,,,,
14714,9D,2C,8D,5C,,,
14715,JH,2D,JC,,,,
14716,7D,2S,AC,10C,4D,,
14717,3D,4D,AS,10D,KC,,
14718,9D,6D,7H,,,,
14719,6C,5D,4S,6S,,,
14720,QS,JC,JS,,,,
14721,7S,AS,5S,6D,,,
14722,JC,9D,6D,,,,
14723,QH,7D,9S,,,,
14724,2D,8S,AD,,,,
14725,7S,7D,10D,,,,
14726,3H,JD,9S,,,,
14727,8C,AC,9C,,,,
14728,8C,6H,2D,7S,,,
14729,9S,AC,QH,2D,,,
14730,5H,6D,8S,,,,
14731,AS,7H,9S,KC,,,
14732,6S,2D,9D,,,,
14733,7D,KD,5S,,,,
14734,6S,JD,5C,,,,
14735,6D,8D,AC,,,,
14736,3S,2C,9D,7H,,,
14737,3S,5D,3C,,,,
14738,5C,10D,6D,,,,
14739,10H,6C,3D,,,,
14740,8H,7D,4C,,,,
14741,4D,8H,QD,,,,
14742,8C,9C,8S,,,,
14743,KC,4S,3S,,,,
14744,AD,KS,2H,JH,,,
14745,3H,8C,5H,,,,
14746,5D,9C,3H,,,,
14747,9C,AC,2H,,,,
14748,10D,QS,7H,,,,
14749,5H,AS,QC,,,,
14750,KC,KH,3D,,,,
14751,KC,AC,7C,7S,,,
14752,5C,9D,8C,,,,
14753,4S,8D,3C,,,,
14754,6S,10H,9S,,,,
14755,6S,6C,3H,,,,
14756,AH,2H,QH,10S,,,
14757,2H,10D,6H,,,,
14758,10C,4C,QH,,,,
14759,2D,4C,8D,,,,
14760,4H,2C,9H,,,,
14761,5D,7S,3C,8D,,,
14762,4S,AS,JD,6D,,,
14763,KC,AH,3C,,,,
14764,JS,5S,3S,QD,,,
14765,2C,3C,9S,5C,KD,,
14766,10D,AS,KS,,,,
14767,AC,5D,8H,,,,
14768,QS,9D,8C,,,,
14769,KH,6C,3H,,,,
14770,JS,KD,2S,,,,
14771,6D,KH,2C,8H,,,
14772,3S,7S,9H,KS,,,
14773,AH,10S,6C,,,,
14774,4S,JC,2D,6H,,,
14775,KC,3C,AC,,,,
14776,8D,9D,JD,,,,
14777,JD,6S,4S,5D,,,
14778,9D,7D,3D,,,,
14779,6H,8H,AS,,,,
14780,9C,KD,3S,,,,
14781,2D,6H,8H,,,,
14782,QH,8S,7H,,,,
14783,10D,5H,2S,KH,,,
14784,7S,7D,4D,,,,
14785,8S,10H,6D,,,,
14786,5H,AH,3D,QD,,,
14787,10H,3D,7C,7H,,,
14788,AD,QC,JC,,,,
14789,9H,8S,KC,,,,
14790,2C,KH,QS,,,,
14791,AH,KS,3H,7C,,,
14792,5C,4C,7S,AS,10D,,
14793,3D,QS,4C,,,,
14794,7D,AH,3H,,,,
14795,7D,2H,QC,3D,,,
14796,JD,4C,3C,AC,5H,,
14797,9S,4S,JS,,,,
14798,KH,QS,5C,,,,
14799,JS,6C,2D,,,,
14800,5H,JD,8S,,,,
14801,10D,4C,6S,4H,,,
14802,5D,10C,AC,8C,,,
14803,4H,AS,10D,AD,7S,,
14804,AC,JS,4D,6S,,,
14805,2C,9C,5S,,,,
14806,3C,7D,8H,,,,
14807,KD,4S,3D,,,,
14808,6D,7C,AC,,,,
14809,3D,KD,7H,10C,,,
14810,10H,2H,QH,,,,
14811,6S,KD,7C,,,,
14812,5H,6H,9D,4C,,,
14813,5D,6S,8D,QD,,,
14814,10H,2D,KD,,,,
14815,6S,8C,KD,,,,
14816,JH,AD,JD,,,,
14817,4S,10S,10H,,,,
14818,AC,JC,3D,5H,,,
14819,3D,10D,7S,5S,,,
14820,2H,8S,10C,4C,,,
14821,AH,10C,6H,2S,,,
14822,4C,10S,5S,9D,,,
14823,10C,9D,8S,,,,
14824,9H,KS,2D,,,,
14825,10D,7D,10S,,,,
14826,4H,9C,8C,,,,
14827,3C,5H,QD,9D,,,
14828,5C,3C,JS,,,,
14829,AS,JS,9H,QH,,,
14830,8S,AS,QD,9C,,,
14831,3C,KS,KD,,,,
14832,QH,KD,4D,,,,
14833,KC,8S,8D,,,,
14834,JC,4S,KD,,,,
14835,9D,QS,6H,,,,
14836,4C,AD,7C,,,,
14837,9S,10H,6C,,,,
14838,9C,10H,QC,,,,
14839,2H,3S,8S,KH,,,
14840,2D,AD,10H,7C,,,
14841,5S,KD,6D,,,,
14842,AD,9H,AC,5S,4H,,
14843,8H,9D,QD,,,,
14844,3D,2H,AC,4H,,,
14845,4D,3C,AD,,,,
14846,QD,KS,7C,,,,
14847,9H,KH,9C,,,,
14848,8H,AS,QD,,,,
14849,6H,7S,5S,9D,,,
14850,JS,KC,4C,,,,
14851,AC,6H,QH,,,,
14852,8C,7H,7D,,,,
14853,6H,2H,10C,,,,
14854,KS,5H,AD,,,,
14855,2C,2H,QD,AH,6C,,
14856,QD,QH,8D,,,,
14857,10C,QD,7S,,,,
14858,AC,JD,7D,,,,
14859,4D,JS,5D,6D,,,
14860,6H,5C,3D,,,,
14861,QC,QH,10S,,,,
14862,3C,JD,3D,,,,
14863,8D,8H,9C,,,,
14864,5C,AH,KS,,,,
14865,2C,9H,4C,,,,
14866,8S,JS,QC,,,,
14867,9H,KC,JD,,,,
14868,KC,3C,KS,,,,
14869,KH,6H,2S,JC,,,
14870,10H,JD,AS,,,,
14871,8C,9S,3S,JC,,,
14872,9C,AS,KC,,,,
14873,10S,JH,AC,,,,
14874,2D,JH,QC,,,,
14875,6C,8C,QD,,,,
14876,4D,2D,4S,3D,5D,8C,
14877,5H,KD,QC,,,,
14878,2H,8H,AC,,,,
14879,AC,3D,9H,,,,
14880,9H,8H,QC,,,,
14881,JD,7S,5C,,,,
14882,9S,AS,3S,2D,4S,,
14883,QH,5C,2H,6S,,,
14884,KS,5S,6H,,,,
14885,KS,JS,AC,,,,
14886,7S,7D,2C,3S,5S,,
14887,8D,4C,AD,JD,,,
14888,3D,10D,4C,9S,,,
14889,4C,2H,9S,8H,,,
14890,JC,9H,2C,,,,
14891,5S,4C,JD,,,,
14892,6D,3C,3D,,,,
14893,6S,7H,5S,7S,,,
14894,QS,KH,JC,,,,
14895,5S,7S,JS,,,,
14896,5S,4S,6H,,,,
14897,4D,6C,8C,,,,
14898,10H,QH,6C,,,,
14899,6H,6S,3D,,,,
14900,5C,KD,3C,AH,2H,,
14901,3S,5S,7C,4H,7S,,
14902,4D,6D,KD,,,,
14903,8H,JC,9H,,,,
14904,5D,8S,2H,7S,,,
14905,10S,QD,9C,,,,
14906,5D,JH,10C,,,,
14907,QD,9C,7C,,,,
14908,10H,AD,3D,8H,,,
14909,4H,10S,10D,,,,
14910,3S,5C,JD,,,,
14911,2C,3H,QS,5C,,,
14912,3S,3H,JS,7C,,,
14913,6S,QS,QC,,,,
14914,KS,8H,5H,,,,
14915,2D,6C,QD,6D,,,
14916,3C,JS,10D,,,,
14917,JC,5C,8S,,,,
14918,AS,5H,6H,,,,
14919,4C,4H,5H,JC,,,
14920,KC,8S,JS,,,,
14921,7H,AD,7S,KS,,,
14922,6S,7S,2C,,,,
14923,JC,3H,KH,,,,
14924,10H,9C,JS,,,,
14925,8H,8D,KH,,,,
14926,5S,8D,4S,KD,,,
14927,2C,AD,4C,6C,,,
14928,5C,AD,8C,,,,
14929,10S,7S,2H,KD,,,
14930,QC,3D,10H,,,,
14931,4D,QD,6S,JC,,,
14932,KH,6C,4H,4S,,,
14933,5H,6D,6C,5S,,,
14934,4C,AC,2C,4H,5S,,
14935,4D,9C,2S,10D,,,
14936,4H,9S,JS,,,,
14937,10C,5H,7S,,,,
14938,3S,9D,JC,,,,
14939,10D,5S,7D,,,,
14940,8H,10S,6C,,,,
14941,7H,2H,2C,QH,,,
14942,4H,KD,9D,,,,
14943,4H,3D,5C,,,,
14944,9C,6D,5H,,,,
14945,QC,7S,5D,,,,
14946,5C,4C,KC,3D,,,
14947,6S,4D,2H,9H,,,
14948,7S,KS,6S,,,,
14949,9S,3C,2C,,,,
14950,5S,2D,5C,,,,
14951,2C,4S,7D,7S,,,
14952,6C,8C,5H,,,,
14953,AH,9D,10C,,,,
14954,8H,9H,3S,,,,
14955,9C,7H,9D,,,,
14956,2C,3H,JC,,,,
14957,2D,3S,KS,7D,,,
14958,2H,AC,3D,,,,
14959,JD,2C,8H,,,,
14960,2C,3H,8C,,,,
14961,4S,9H,9D,,,,
14962,QC,JS,2D,,,,
14963,QH,AC,7C,,,,
14964,8S,2H,2S,5D,KH,,
14965,2H,8H,5S,AH,,,
14966,10D,6S,4H,6C,,,
14967,10C,7D,QS,,,,
14968,3S,10H,3D,8D,,,
14969,7H,AD,4D,7D,JD,,
14970,8C,4H,5C,KH,,,
14971,6D,3S,10S,4D,,,
14972,QC,8S,AS,7S,,,
14973,QS,AD,6C,AS,,,
14974,10C,4H,2S,KH,,,
14975,QH,4H,10D,,,,
14976,AS,9S,2H,4C,6H,,
14977,5S,KS,5H,,,,
14978,5S,8C,AS,6S,,,
14979,5D,JH,QC,,,,
14980,QC,4S,6C,8C,,,
14981,6D,10S,8C,,,,
14982,5D,5C,KC,,,,
14983,8C,KS,KH,,,,
14984,9H,2H,7S,,,,
14985,2D,9C,9D,,,,
14986,KD,5C,4C,,,,
14987,QC,3S,5D,8H,,,
14988,JH,7C,7H,,,,
14989,8S,3H,6C,5H,,,
14990,7C,5D,7S,9H,,,
14991,7H,5C,KD,,,,
14992,2D,JC,QD,,,,
14993,7C,5D,4H,,,,
14994,QH,AH,8C,,,,
14995,AC,2C,AH,,,,
14996,KD,10H,5C,,,,
14997,10C,6C,10S,,,,
14998,4S,KS,10C,,,,
14999,6S,2C,AS,10C,,,
15000,4D,6C,8H,6H,,,
15001,5S,6H,QH,,,,
15002,5C,7C,AH,QC,,,
15003,JH,2D,3D,,,,
15004,5H,5C,6S,AH,QS,,
15005,10S,6D,AS,2D,,,
15006,8C,4D,5C,10D,,,
15007,4S,9C,6S,,,,
15008,7C,3C,8C,7D,,,
15009,QD,4C,2S,8H,,,
15010,4D,JC,JS,,,,
15011,9H,QD,6S,,,,
15012,5S,4H,3D,2H,4S,10D,
15013,7C,6D,10D,,,,
15014,10S,AC,3D,,,,
15015,QC,9H,9S,,,,
15016,3H,5D,10S,8C,,,
15017,10D,8S,6H,,,,
15018,AD,3C,7D,6C,,,
15019,8C,KC,4D,,,,
15020,AS,5D,2C,QD,AH,JC,
15021,2C,JC,JD,,,,
15022,KH,KC,6S,,,,
15023,3C,9C,10H,,,,
15024,6C,5D,5S,AD,KS,,
15025,AD,9D,7H,7S,,,
15026,9D,QH,9H,,,,
15027,9C,JC,JD,,,,
15028,6H,KH,4C,,,,
15029,5C,7C,7H,2D,,,
15030,KS,2D,KH,,,,
15031,2D,KC,AD,,,,
15032,JC,QD,3S,,,,
15033,KD,9H,8S,,,,
15034,8H,QD,3H,,,,
15035,JH,KS,5H,,,,
15036,9D,JS,5C,,,,
15037,8S,JD,9S,,,,
15038,KS,6D,10C,,,,
15039,2D,6H,8D,,,,
15040,8D,4S,8C,,,,
15041,AS,4D,4H,,,,
15042,4H,10C,AH,,,,
15043,2D,9H,AC,8H,,,
15044,6S,6H,KC,,,,
15045,7S,6S,8C,,,,
15046,4C,6C,8H,2D,7H,,
15047,3S,9S,JD,,,,
15048,KD,10S,6H,,,,
15049,KC,2H,6C,QS,,,
15050,JC,2C,8S,,,,
15051,8D,9C,3H,,,,
15052,10D,10H,10S,,,,
15053,6S,9S,7H,,,,
15054,5D,KH,10H,,,,
15055,4C,7H,3C,,,,
15056,3H,3C,9C,7H,,,
15057,4H,3C,JD,,,,
15058,10S,KH,10C,,,,
15059,6S,JH,9D,,,,
15060,9H,10D,AS,,,,
15061,7D,5C,9D,,,,
15062,KS,7C,2H,JH,,,
15063,4S,7D,JH,,,,
15064,10S,7H,10H,,,,
15065,7D,KC,10C,,,,
15066,2H,AC,QD,JD,,,
15067,9C,AD,7C,,,,
15068,JS,3H,8H,,,,
15069,4H,8H,10H,,,,
15070,4S,KS,AC,9C,,,
15071,2D,3C,6S,JS,,,
15072,4D,5S,3C,5H,JS,,
15073,10H,KS,QH,,,,
15074,5D,8C,10D,,,,
15075,9H,10C,8S,,,,
15076,8H,9C,7D,,,,
15077,JD,KH,10S,,,,
15078,3C,10C,4H,,,,
15079,4S,QC,4C,9H,,,
15080,3S,5S,JC,4C,,,
15081,QC,5H,2H,,,,
15082,6C,KC,7H,,,,
15083,KH,4C,5S,JD,,,
15084,6D,5C,2H,,,,
15085,KD,7S,4D,,,,
15086,5H,3C,6H,,,,
15087,4S,9S,JC,,,,
15088,5H,5S,7H,,,,
15089,AS,JH,3C,10S,,,
15090,3C,7H,QC,,,,
15091,6D,JH,4C,4H,,,
15092,9H,5H,7S,,,,
15093,6C,5C,2S,KC,,,
15094,10C,QS,4D,,,,
15095,JH,6H,9S,,,,
15096,4D,10H,QH,,,,
15097,4S,4C,10S,,,,
15098,3D,3C,4H,AC,,,
15099,4D,7C,AS,9S,,,
15100,10S,JC,KH,,,,
15101,JD,4H,4D,,,,
15102,10C,6C,3H,8C,,,
15103,KH,7D,5H,,,,
15104,AH,2H,JS,AC,,,
15105,10C,9D,10D,,,,
15106,7S,AC,KC,,,,
15107,6C,7H,8H,,,,
15108,QS,AC,8C,9C,,,
15109,6C,2D,8H,,,,
15110,8H,10S,JD,,,,
15111,AD,AC,AS,10D,,,
15112,4H,6S,9D,8S,,,
15113,KC,JC,7C,,,,
15114,QC,6H,4C,,,,
15115,QH,8H,KS,,,,
15116,2C,7S,7C,9C,,,
15117,4D,8C,9S,,,,
15118,8C,JC,QS,,,,
15119,3C,2H,KH,,,,
15120,4D,AD,7D,9D,,,
15121,KD,2D,4D,QH,,,
15122,KD,3C,4D,8H,,,
15123,10D,6D,2D,,,,
15124,KD,JS,7C,,,,
15125,8S,KD,4H,,,,
15126,10C,2C,8C,10H,,,
15127,8S,9H,6H,,,,
15128,JD,9D,QC,,,,
15129,5S,AH,7S,,,,
15130,6C,7S,KD,,,,
15131,KH,8H,KC,,,,
15132,2H,5H,8C,,,,
15133,8H,9H,5H,,,,
15134,5S,10D,6C,,,,
15135,3D,5C,JH,,,,
15136,6H,6C,7S,5C,,,
15137,9D,10D,3S,,,,
15138,10C,5H,3H,9D,,,
15139,QD,7D,KC,,,,
15140,3H,7D,2H,,,,
15141,QH,2H,9H,,,,
15142,9S,AS,QH,,,,
15143,6S,7S,JD,,,,
15144,2S,8C,3S,7H,,,
15145,5D,4S,2C,8H,,,
15146,7C,7H,QD,,,,
15147,KD,9H,6S,,,,
15148,KD,JD,AC,,,,
15149,QD,6C,5H,,,,
15150,AS,2S,KC,7D,,,
15151,5D,9S,2H,8C,,,
15152,2H,7C,6H,,,,
15153,9H,10S,3D,,,,
15154,5H,3S,3C,9H,,,
15155,5S,QD,7S,,,,
15156,KD,5S,3C,7H,,,
15157,7H,8C,AC,QS,,,
15158,8S,6D,10H,,,,
15159,3S,KD,2C,,,,
15160,8H,AD,5D,AH,,,
15161,AC,QD,8S,,,,
15162,AC,8H,2H,KD,,,
15163,8S,5S,6C,JS,,,
15164,QS,2C,5C,8H,,,
15165,8S,KC,6H,,,,
15166,2D,8C,10H,,,,
15167,5H,10D,AS,JC,,,
15168,7S,JS,2C,,,,
15169,2C,KC,5H,4S,,,
15170,6H,9C,10S,,,,
15171,2S,9S,8H,AD,,,
15172,KD,5H,3D,,,,
15173,QS,QC,KH,,,,
15174,JS,AD,JD,,,,
15175,3H,10D,AH,,,,
15176,4C,6D,7S,JC,,,
15177,7H,10C,3S,10H,,,
15178,5D,QD,KC,,,,
15179,8D,9D,QS,,,,
15180,5C,JD,KH,,,,
15181,3D,JS,5S,4S,,,
15182,QC,2S,9D,,,,
15183,2S,9S,KS,,,,
15184,5H,KS,7H,,,,
15185,4H,2C,6S,JS,,,
15186,5S,3H,6D,,,,
15187,6C,QD,2H,6D,,,
15188,7C,8S,6H,,,,
15189,2D,KC,AC,,,,
15190,5D,3D,7H,KS,,,
15191,8C,JD,4D,,,,
15192,8H,AH,2C,,,,
15193,5D,10S,JC,,,,
15194,QH,4C,4D,JC,,,
15195,QH,8S,JS,,,,
15196,3C,9C,2H,,,,
15197,QC,9C,8S,,,,
15198,3C,2S,3S,2H,QH,9C,
15199,QS,4C,AD,,,,
15200,3S,3H,2S,10H,6H,,
15201,3H,KD,3C,5H,,,
15202,KD,QD,10D,,,,
15203,AD,10D,7D,KH,,,
15204,5S,KC,AH,5D,,,
15205,6H,5D,QH,,,,
15206,10C,8D,6S,,,,
15207,JH,6S,6D,,,,
15208,5C,AS,10C,,,,
15209,JH,9H,AS,,,,
15210,AH,10C,10H,,,,
15211,6H,10H,8D,,,,
15212,4D,8C,5S,KH,,,
15213,2D,10S,QS,,,,
15214,2H,8H,2S,,,,
15215,10H,3D,JC,,,,
15216,6S,4D,8C,,,,
15217,AH,JD,5S,,,,
15218,9D,7H,AC,10C,,,
15219,JH,9D,5C,,,,
15220,6D,10C,5S,,,,
15221,4C,8C,10C,,,,
15222,10C,8H,6H,,,,
15223,4H,JS,7C,,,,
15224,9C,9D,5S,,,,
15225,10C,JC,6S,,,,
15226,AC,9C,7H,2D,AS,,
15227,JD,QD,2D,,,,
15228,9D,AS,9S,,,,
15229,6C,9D,5D,,,,
15230,10H,5C,3D,,,,
15231,3C,3D,8D,3H,10H,,
15232,KC,2S,6C,,,,
15233,10S,5D,2H,,,,
15234,10S,6C,JH,,,,
15235,10S,4C,3C,,,,
15236,JH,6S,7S,,,,
15237,8C,KD,4H,,,,
15238,4H,2C,JH,AS,5H,,
15239,JH,8C,5H,,,,
15240,2S,3C,2H,,,,
15241,AD,6C,6S,3C,,,
15242,4H,10S,5H,JD,,,
15243,7D,10D,5C,,,,
15244,6D,3D,8S,,,,
15245,8D,10D,5H,,,,
15246,QD,AC,10S,,,,
15247,QS,KC,JD,,,,
15248,KH,3H,7S,,,,
15249,3D,AC,8H,2H,10H,,
15250,8C,6H,AD,,,,
15251,8S,2D,2S,AH,,,
15252,2S,8H,8D,,,,
15253,8D,QD,3D,,,,
15254,9S,7D,JC,,,,
15255,3C,3S,4S,QC,8S,,
15256,AD,6D,4H,KH,,,
15257,7H,9D,QS,,,,
15258,2S,KH,8C,,,,
15259,8D,7H,AD,7C,,,
15260,3H,JS,5S,,,,
15261,9S,JS,JD,,,,
15262,7D,3H,4H,AC,QS,,
15263,7S,6C,3H,,,,
15264,7D,2D,QH,,,,
15265,5S,10D,7D,,,,
15266,JH,2C,10C,,,,
15267,8D,QS,5D,,,,
15268,10S,8H,6D,,,,
15269,7D,AD,3D,,,,
15270,5H,4H,AH,9H,7C,,
15271,QC,QS,5S,,,,
15272,AH,4C,7D,5C,,,
15273,2H,2D,10C,,,,
15274,QS,10H,QC,,,,
15275,4C,5D,AH,,,,
15276,5D,JH,6H,,,,
15277,2S,6C,4C,,,,
15278,QS,6D,KC,,,,
15279,KH,KS,2H,,,,
15280,KS,2D,8S,5S,,,
15281,2C,4D,3S,3D,10D,,
15282,AS,JC,7S,,,,
15283,JS,QH,6D,,,,
15284,8C,9D,5H,,,,
15285,5S,4H,10H,QS,,,
15286,2C,7S,5C,4C,JH,,
15287,8D,2S,2H,,,,
15288,JD,QC,3C,,,,
15289,6H,QH,JC,,,,
15290,QD,QS,2H,,,,
15291,3H,10S,5D,7C,,,
15292,QC,9S,6C,,,,
15293,5H,4S,KC,10S,,,
15294,QD,10S,2S,,,,
15295,10D,2S,2C,,,,
15296,10H,3D,KH,,,,
15297,AC,10D,5C,3D,2D,,
15298,5D,7D,JH,,,,
15299,3S,AD,QH,,,,
15300,3D,QC,4D,KC,,,
15301,2D,3H,9S,KC,,,
15302,3H,7H,4S,7C,,,
15303,9S,AD,JH,,,,
15304,9C,JC,KD,,,,
15305,4H,3C,5C,,,,
15306,9S,6C,QS,,,,
15307,4S,JC,9H,,,,
15308,10H,7H,5C,,,,
15309,2C,3S,5S,2D,,,
15310,7D,4D,9H,AS,,,
15311,KD,10S,7D,,,,
15312,QD,KH,6H,,,,
15313,AH,5S,KD,,,,
15314,QC,QH,JC,,,,
15315,6C,3D,5H,,,,
15316,5C,3D,4D,8C,QD,,
15317,8D,8S,KC,,,,
15318,8D,8H,7S,,,,
15319,3D,AC,3S,AH,,,
15320,10S,QC,8C,,,,
15321,8D,QD,2S,JH,,,
15322,AD,9S,QH,,,,
15323,4H,3S,KH,8C,,,
15324,7H,QD,QC,,,,
15325,2H,6C,6S,,,,
15326,5H,7H,6C,,,,
15327,6C,KH,4D,4H,,,
15328,5C,QH,3C,,,,
15329,10C,6S,QD,,,,
15330,2H,7D,6H,9C,,,
15331,6S,JS,6C,,,,
15332,10D,5C,8S,,,,
15333,JH,5C,8C,,,,
15334,10D,2D,10S,,,,
15335,8H,10H,KH,,,,
15336,3H,KC,QS,,,,
15337,9H,3H,2C,KS,,,
15338,10H,AS,7C,JS,,,
15339,AD,8D,3S,,,,
15340,6H,8S,AH,JC,,,
15341,7C,AS,7H,8D,,,
15342,AD,7S,6D,JS,,,
15343,2S,AS,3S,,,,
15344,7S,9D,10C,,,,
15345,JD,10D,QC,,,,
15346,QH,AD,QS,,,,
15347,6H,JS,3S,,,,
15348,2S,5H,7S,QD,,,
15349,9D,JD,6S,,,,
15350,2H,3H,2S,6D,QC,,
15351,9S,2C,6H,,,,
15352,8D,KS,10D,,,,
15353,2S,4D,3H,,,,
15354,QD,5H,9D,,,,
15355,JC,QC,5D,,,,
15356,8D,KS,6H,,,,
15357,8C,7C,AC,,,,
15358,2D,3H,3C,,,,
15359,4C,QD,6H,4D,,,
15360,JD,AH,9C,KD,,,
15361,AS,QH,3H,AC,6H,,
